model,accuracy,roc_auc
XGBoost (default),0.9502941427231648,0.9518890045736145
XGBoost (tuned),0.9487594850370875,0.9490993557174348
Random Forest (tuned),0.94185352544974,0.9357117557310075
Random Forest (default),0.9444965470202064,0.9334385211086923
Logistic Regression,0.8565947651121153,0.9110909704599153
